"keys","en","fr","zh","ja","ko","zh_TW","ru","pl","es","pt","de","tr","it"
"CHAL_BARBECUE_DESC","Have at least {0} enemies burning at the same time","Ayez au moins {0} ennemis qui brûlent en même temps","同时让至少{0}个敌人处于燃烧状态","{0} 体以上の敵を同時に炎上させる","최소 {0}만큼의 적이 동시에 화상을 입게 만들기","讓至少{0}個敵人在同一個時間燃燒","Подожгите не менее {0} врагов одновременно","Przynajmniej tylu przeciwników płonęło w tym samym czasie: {0}","Haz que al menos {0} enemigos sufran quemadura al mismo tiempo","Queime {0} inimigos ou mais ao mesmo tempo.","Lass mindestens {0} Gegner gleichzeitig brennen","Aynı anda en az {0} düşmanı ateşe ver","Infliggi bruciature ad almeno {0} nemici in contemporanea."
"CHAL_UNLUCKY","Unlucky","Malchanceux","倒霉","不運","불운아","倒楣","Невезение","Niefart","Poca suerte","Que azar","Pechvogel","Şanssız","Sfortunello"
"CHAL_UNLUCKY_DESC","Reroll {0} times in a single shop","Randomisez {0} fois dans la même boutique","在单个商店中刷新{0}次","一度の来店中に {0} 回リロールする","한 상점에서 {0}번 초기화하기","在單一間商店裡重骰{0}次","Замените товар {0} раз(а) за одно посещение магазина","Przerzuć tyle razy w jednym sklepie: {0}","Repite {0} veces las existencias de una misma tienda","Faça {0} renovações na mesma loja.","Nutze ""Neu würfeln"" {0} Mal im selben Laden","Dükkânda tek seferde {0} defa eşyaları yenile","Cambia {0} volte gli oggetti di un singolo negozio."
"CHAL_OVERKILL","Overkill","Exagération","过度杀戮","オーバーキル","오버킬","過度殺戮","Смертоубийство","Przesada","Exterminio","Aniquilação","Overkill","Aşırı Güç","Esagerazione"
"CHAL_OVERKILL_DESC","Deal {0} damage to an enemy in a single hit","Infligez {0} points de dégâts à un ennemi en un seul coup","单次攻击对敌人造成{0}伤害","敵1体に一撃で {0} ダメージ以上を与える","한 타격으로 한 적에게 {0}만큼의 대미지 가하기","一次攻擊就對敵人造成{0}傷害","Одним ударом нанесите {0} урона врагу","Zadaj tyle obrażeń przeciwnikowi jednym trafieniem: {0}","Causa {0} de daño a un enemigo con un solo golpe","Cause {0} de dano a um inimigo com um só golpe.","Füge einem Gegner mit einem Treffer {0} Schaden zu","Tek vuruşta bir düşmana {0} hasar ver","Infliggi {0} danni a un nemico con un solo colpo."
"CHAL_UNCORRUPTED","Uncorrupted","Non Corrompu","未被腐蚀","清浄なる魂","깨끗함","寶刀未老","Не испорчен","Nieuszkodzone","Incólume","Incorruptível","Reine Weste","Saf","Irreprensibilità"
"CHAL_UNCORRUPTED_DESC","Finish a run with {0} {1}","Finissez une partie avec {0} {1}","以{0}{1}完成一场比赛","{1}が{0}の状態でクリアする","{0} {1}(으)로 달리기 끝내기","以{0}{1}完成一場比賽","Завершите забег, когда у вас есть {0} {1}","Ukończ rozgrywkę z: {1} ({0})","Termina una partida con {0} de {1}","Conclua uma partida com {1} x{0}.","Beende eine Runde mit {0} {1}","{0} {1} ile bir koşu tamamla","Completa una partita con {0} {1}."
"CHAL_CAUTIOUS","Cautious","Prudent","谨慎","警戒","신중함","謹慎","Осторожность","Ostrożność","Cautela","Respeite meu espaço pessoal","Sicherheitsabstand","Dikkatli","Cautela"
"CHAL_CAUTIOUS_DESC","Kill {0} enemies that are more than {2} range away from you","Tuez {0} ennemis qui sont à plus de {2} de portée de vous","击杀距离你超过{2}范围的{0}个敌人","距離が {0} 以上離れた敵を {2} 体倒す","{2} 범위보다 더 멀리 떨어져 있는 적 {0}만큼 죽이기","殺死{0}個距離你超過{2}的敵人","Убейте {0} врагов с расстояния {2} и больше","Zabij tylu wrogów znajdujących się w odległości większej niż {2}: {0}","Elimina a {0} enemigos que estén a más de {2} de alcance de ti","Elimine {0} inimigos que estejam a mais de {2} de alcance de você.","Töte {0} Gegner, die mindestens {2} von dir entfernt sind","Senden {2} veya daha uzakta olan {0} düşman öldür","Uccidi {0} nemici che si trovano a una portata superiore a {2} da te."
"CHAL_BLIND_GREED","Blind Greed","Avidité Aveugle","盲目贪婪","欲に目が眩む","눈 먼 탐욕","盲目的貪婪","Ненасытная жадность","Ślepa chciwość","Codicia ciega","Ganância cega","Blinde Gier","Doyumsuz","Cieca avidità"
"ITEM_ASHES","Ashes","Cendres","灰烬","灰","잿더미","灰燼","Прах","Popioły","Cenizas","Cinzas","Asche","Küller","Ceneri"
"ITEM_AXOLOTL","Axolotl","Axolotl","蝾螈","メキシコサンショウウオ","멕시코산 도롱뇽","美西螈","Аксолотль","Aksolotl","Ajolote","Axolote","Axolotl","Aksolotl","Axolotl"
"ITEM_BABY_SQUID","Baby Squid","Bébé Calmar","鱿鱼宝宝","赤ちゃんイカ","아기 오징어","小魷魚","Кальмарик","Mała Kałamarnica","Calamarcito","Bebê Lula","Babykalmar","Bebek Kalamar","Calamaretto"
"ITEM_BARNACLE","Barnacle","Bernacle","藤壶","フジツボ","따개비","藤壺","Рачок","Pąkla","Percebe","Craca","Rankenfüßer","Kekamoz","Balano"
"ITEM_BLACK_FLAG","Black Flag","Drapeau Noir","黑旗","黒旗","흑색기","黑旗","Черный флаг","Czarna Flaga","Bandera negra","Bandeira Preta","Schwarze Fahne","Siyah Bayrak","Bandiera nera"
"ITEM_CAULDRON","Cauldron","Chaudron","大锅","大釜","가마솥","大鍋","Котел","Kocioł","Caldero","Caldeirão","Kessel","Kazan","Calderone"
"ITEM_CORAL","Coral","Corail","珊瑚","サンゴ","산호","珊瑚","Коралл","Koral","Coral","Coral","Koralle","Mercan","Corallo"
"ITEM_CRYSTAL","Crystal","Cristal","水晶","クリスタル","수정","水晶","Кристалл","Kryształ","Cristal","Cristal","Kristall","Kristal","Cristallo"
"ITEM_EYEPATCH","Eyepatch","Cache-Oeil","眼罩","眼帯","안대","眼罩","Повязка на глаз","Opaska na Oko","Parche","Tapa-olho","Augenklappe","Göz Bandı","Benda per occhio"
"ITEM_FEATHER","Feather","Plume","羽毛","羽","깃털","羽毛","Перышко","Pióro","Pluma","Pena","Feder","Tüy","Piuma"
"ITEM_FISH_HOOK","Fish Hook","Hameçon","鱼钩","釣り針","낚시 바늘","魚鉤","Крючок","Haczyk","Anzuelo","Anzol","Angelhaken","Balık Oltası","Amo"
"ITEM_CORRUPTED_SHARD","Corrupted Shard","Éclat Corrompu","被腐蚀的碎片","不浄の断片","부패한 조각","腐化碎片","Оскверненный осколок","Spaczony Odłamek","Esquirla corrupta","Lasca Corrompida","Verderbnissplitter","Yozlaşmış Parça","Frammento corrotto"
"ITEM_GOBLET","Goblet","Gobelet","高脚杯","ゴブレット","고블릿","高腳杯","Кубок","Czarka","Cáliz","Taça","Kelch","Kadeh","Calice"
"ITEM_JERKY","Jerky","Viande Séchée","干肉条","ジャーキー","육포","肉乾","Солонина","Suszone Mięso","Cecina","Carne Seca","Dörrfleisch","Kuru Et","Carne essiccata"
"ITEM_KNOT","Knot","Noeud","结","結び目","매듭","結","Узел","Węzeł","Nudo","Nó","Knoten","Düğüm","Nodo"
"ITEM_KRAKENS_EYE","Kraken’s Eye","Oeil de Kraken","克拉肯的眼睛","クラーケンの目","크라켄의 눈","海怪之眼","Глаз Кракена","Oko Krakena","Ojo de kraken","Olho do Kraken","Krakenauge","Kraken Gözü","Occhio del Kraken"
"ITEM_LANTERN","Lantern","Lanterne","灯笼","ランタン","랜턴","燈籠","Фонарь","Latarnia","Farol","Lamparina","Laterne","Fener","Lanterna"
"ITEM_LIGHTHOUSE","Lighthouse","Phare","灯塔","灯台","등대","燈塔","Маяк","Latarnia Morska","Faro","Farol","Leuchtturm","Deniz Feneri","Faro"
"ITEM_MIRROR","Mirror","Miroir","镜子","鏡","거울","鏡子","Зеркало","Lustro","Espejo","Espelho","Spiegel","Ayna","Specchio"
"ITEM_BROKEN_MIRROR","Broken Mirror","Miroir Cassé","破碎的镜子","割れた鏡","깨진 거울","破裂的鏡子","Разбитое зеркало","Zbite Lustro","Espejo roto","Espelho Quebrado","Kaputter Spiegel","Kırık Ayna","Specchio rotto"
"ITEM_PEARL","Pearl","Perle","珍珠","真珠","진주","珍珠","Жемчужина","Perła","Perla","Pérola","Perle","İnci","Perla"
"ITEM_PENGUIN","Penguin","Pinguin","企鹅","ペンギン","펭귄","企鵝","Пингвин","Pingwin","Pingüino","Pinguim","Pinguin","Penguen","Pinguino"
"ITEM_SALTWATER","Saltwater","Eau Salée","盐水","海水","소금물","鹹水","Морская вода","Słona Woda","Agua salada","Água Salgada","Salzwasser","Tuzlu Su","Acqua salata"
"ITEM_SCARF","Scarf","Foulard","围巾","スカーフ","스카프","圍巾","Шарф","Szalik","Bufanda","Cachecol","Schal","Atkı","Sciarpa"
"ITEM_SEASHELL","Seashell","Coquillage","海贝壳","貝","조개껍데기","貝殼","Ракушка","Muszla","Concha","Concha","Muschel","Deniz Kabuğu","Conchiglia"
"ITEM_SMALL_FISH","Small Fish","Petit Poisson","小鱼","小魚","작은 물고기","小魚","Рыбка","Mała Rybka","Pezqueñín","Peixinho","Kleiner Fisch","Küçük Balık","Pesciolino"
"ITEM_STARFISH","Starfish","Étoile de Mer","海星","ヒトデ","불가사리","海星","Морская звезда","Rozgwiazda","Estrella de mar","Estrela-do-mar","Seestern","Denizyıldızı","Stella marina"
"ITEM_SUNKEN_BELL","Sunken Bell","Cloche Engloutie","沉钟","水底の鐘","가라앉은 종","沉鐘","Затонувший колокол","Zatopiony Dzwon","Campana hundida","Sino Afundado","Versunkene Glocke","Batık Çan","Campana inabissata"
"ITEM_TREASURE_MAP","Treasure Map","Carte au Trésor","藏宝图","宝の地図","보물 지도","寶藏地圖","Карта сокровищ","Mapa Skarbów","Mapa del tesoro","Mapa do Tesouro","Schatzkarte","Hazine Haritası","Mappa del tesoro"
"ITEM_WHISTLE","Whistle","Sifflet","哨子","ホイッスル","호루라기","哨子","Свисток","Gwizdek","Silbato","Apito","Pfeife","Düdük","Fischietto"
"ITEM_SPYGLASS","Spyglass","Longue-Vue","望远镜","望遠鏡","작은 망원경","小型望遠鏡","Подзорная труба","Luneta","Catalejo","Luneta","Fernglas","Dürbün","Cannocchiale"
"ITEM_GOLDFISH","Goldfish","Poisson Rouge","金鱼","金魚","금붕어","金魚","Золотая рыбка","Złota rybka","Carpa dorada","Peixe-dourado","Goldfisch","Japon Balığı","Pesce rosso"
"ITEM_GOLDFISH_USED","Resting Goldfish","Poisson Rouge au Repos","休息的金鱼","休んでいる金魚","휴식 중인 금붕어","休息的金魚","Спящая рыбка","Odpoczywająca Złota Rybka","Carpa dorada en reposo","Peixe-dourado Cansado","Schlafender Goldfisch","Dinlenen Japon Balığı","Pesce rosso addormentato"
"ITEM_BONE_DICE","Bone Dice","Dés en Os","骨骰","骨のサイコロ","뼈 주사위","骨骰子","Игральная кость","Kostki z Kości","Dados de hueso","Dado de Osso","Knochenwürfel","Kemik Zar","Dadi d'osso"
"CHARACTER_DWARF","Dwarf","Nain","矮人","ドワーフ","난쟁이","小矮人","Гном","Krasnolud","Enano","Anão","Zwerg","Cüce","Nano"
"CHARACTER_CREATURE","Creature","Créature","生物","クリーチャー","크리처","怪物","Существо","Stwór","Criatura","Criatura","Kreatur","Yaratık","Essere"
"CHARACTER_GANGSTER","Gangster","Voyou","匪徒","ギャング","갱스터","歹徒","Бандит","Gangster","Mafioso","Mafioso","Ganove","Gangster","Gangster"
"CHARACTER_ROMANTIC","Romantic","Romantique","浪漫之人","ロマンチック","로맨틱","浪漫","Романтик","Romantyk","Romántico","Romântico","Charmeur","Romantik","Romanticone"
"CHARACTER_DRUID","Druid","Druide","德鲁伊","ドルイド","드루이드","德魯伊教祭司","Друид","Druid","Druida","Druida","Druide","Orman Perisi","Druido"
"CHARACTER_CHEF","Chef","Chef","厨师","シェフ","셰프","廚師","Повар","Kucharz","Chef","Chef","Koch","Şef","Chef"
"CHARACTER_SAILOR","Sailor","Marin","水手","水兵","선원","水手","Моряк","Marynarz","Marinero","Marinheiro","Matrose","Denizci","Marinaio"
"CHARACTER_DIVER","Diver","Plongeur","潜水员","ダイバー","잠수부","潛水員","Водолаз","Nurek","Buzo","Mergulhador","Taucher","Dalgıç","Sub"
"CHARACTER_CURIOUS","Curious","Curieux","好奇之人","知りたがり","궁금이","好奇家","Любопытный","Zaciekawiony","Curioso","Curioso","Stauner","Meraklı","Curiosone"
"CHARACTER_HIKER","Hiker","Randonneur","徒步旅行者","ハイカー","하이커","健行者","Турист","Turysta","Senderista","Montanhista","Wanderer","Yürüyüşçü","Alpinista"
"CHARACTER_BUILDER","Builder","Constructeur","建造者","建築家","건축업자","建築工人","Строитель","Budowniczy","Constructor","Construtor","Baumeister","İnşaatçı","Costruttore"
"CHARACTER_CAPTAIN","Captain","Capitaine","船长","船長","선장","船長","Капитан","Kapitan","Capitán","Capitão","Kapitän","Kaptan","Capitano"
"CHARACTER_OGRE","Ogre","Ogre","食人魔","オーガ","오우거","食人魔","Огр","Ogr","Ogro","Ogro","Oger","Dev","Orco"
"CHARACTER_BUCCANEER","Buccaneer","Boucanier","海盗","海賊","해적","海盜","Пират","Korsarz","Bucanero","Bucaneiro","Seeräuber","Korsan","Bucaniere"
"WEAPON_ANCHOR","Anchor","Ancre","锚","錨","닻","錨","Якорь","Kotwica","Ancla","Âncora","Anker","Çapa","Ancora"
"WEAPON_BLUNDERBUSS","Blunderbuss","Tromblon","喇叭枪","ラッパ銃","나팔총","雷筒","Мушкет","Garłacz","Trabuco","Bacamarte","Donnerbüchse","Alaybozan","Archibugio"
"WEAPON_BRICK","Brick","Brique","砖块","レンガ","벽돌","磚塊","Кирпич","Cegła","Ladrillo","Tijolo","Ziegel","Tuğla","Mattone"
"WEAPON_CAPTAINS_SWORD","Captain’s Sword","Épée du capitaine","船长的剑","船長の剣","선장의 검","船長的劍","Меч капитана","Miecz Kapitana","Espada del capitán","Espada de Capitão","Kapitänssäbel","Kaptanın Kılıcı","Spada del capitano"
"WEAPON_CHAINSAW","Chainsaw","Tronçonneuse","电锯","チェーンソー","체인톱","電鋸","Бензопила","Piła Łańcuchowa","Motosierra","Motossera","Kettensäge","Elektrikli Testere","Sega elettrica"
"WEAPON_FLUTE","Flute","Flûte","长笛","フルート","플루트","長笛","Флейта","Flet","Flauta","Flauta","Flöte","Flüt","Flauto"
"WEAPON_GRENADE_LAUNCHER","Grenade Launcher","Lance-Grenades","榴弹发射器","グレネードランチャー","수류탄 런처","手榴彈發射器","Гранатомет","Wyrzutnia Granatów","Lanzagranadas","Lança-granada","Granatwerfer","Bombaatar","Lanciagranate"
"WEAPON_HARPOON_GUN","Harpoon Gun","Fusil Harpon","鱼叉枪","銛撃ち銃","작살 발사포","魚叉槍","Гарпунное ружье","Pistolet Harpunniczy","Cañón arponero","Arpão","Harpune","Zıpkın Tüfeği","Fiocina"
"WEAPON_HIKING_STICK","Hiking Pole","Bâton de Randonnée","登山杖","ハイキングステッキ","하이킹 스틱","登山杖","Походная палка","Kij Turystyczny","Bastón de senderismo","Bastão de Trilha","Wanderstock","Yürüyüş Batonu","Bastoncino"
"WEAPON_JAVELIN","Javelin","Javelin","标枪","ジャベリン","투창","標槍","Метательное копьё","Oszczep","Jabalina","Azagaia","Wurfspeer","Kargı","Giavellotto"
"WEAPON_LUTE","Lute","Luth","琉特琴","リュート","류트","琵琶","Лютня","Lutnia","Laúd","Alaúde","Laute","Lavta","Liuto"
"WEAPON_MACE","Mace","Massue","狼牙棒","メイス","철퇴","槌子","Булава","Maczuga","Maza","Maça","Streitkolben","Gürz","Mazza chiodata"
"WEAPON_SICKLE","Sickle","Faucille","镰刀","草刈り鎌","낫","鐮刀","Серп","Sierp","Hoz","Foice","Sichel","Orak","Falcetto"
"WEAPON_SPOON","Spoon","Cuillère","勺子","スプーン","숟가락","湯匙","Ложка","Łyżka","Cuchara","Colher","Löffel","Kaşık","Cucchiaio"
"WEAPON_TRIDENT","Trident","Trident","三叉戟","トライデント","삼지창","三叉戟","Трезубец","Trójząb","Tridente","Tridente","Dreizack","Üç Dişli Mızrak","Tridente"
"WEAPON_WAR_HAMMER","War Hammer","Marteau de Guerre","战锤","ウォーハンマー","전쟁 망치","戰鎚","Молот","Młot Bojowy","Martillo de guerra","Martelo de Guerra","Kriegshammer","Savaş Çekici","Martello d'arme"
"BG_OCEAN","Ocean","Océan","海洋","大洋","바다","海洋","Океан","Ocean","Océano","Oceano","Ozean","Okyanus","Oceano"
"WEAPON_CLASS_NAVAL","Naval","Naval","海军","海軍","해군","船艦類","Морское","Marynarska","Naval","Naval","Maritim","Denizci","Navale"
"WEAPON_CLASS_MUSICAL","Musical","Musical","音乐","楽器","음악","音樂類","Музыкальное","Muzyczna","Musical","Musical","Musikalisch","Müzisyen","Musicale"
"ZONE_CRASH_ZONE","Crash Zone","Zone de Crash","碰撞区域","クラッシュゾーン","격돌 지대","墜毀地","Зона аварии","Miejsce wypadku","Zona de choque","Local da Queda","Absturzstelle","Çarpışma Noktası","Zona di collisione"
"ZONE_ABYSS","The Abyss","Les Abysses","深渊","アビス","심해","深海","Бездна","Otchłań","El abismo","Abismo","Die Tiefe","Abis","L'Abisso"
