"keys","en","fr","zh","ja","ko","zh_TW","ru","pl","es","pt","de","tr","it"
"STEAM_SMALL_DESCRIPTION","Brotato is a top-down arena shooter roguelite where you play a potato wielding up to 6 weapons at a time to fight off hordes of aliens. Choose from a variety of traits and items to create unique builds and survive until help arrives.","Brotato est un roguelite où vous incarnez une pomme de terre maniant jusqu'à 6 armes à la fois pour combattre des hordes d'extraterrestres. Choisissez parmi une variété de traits et d'objets pour créer des parties uniques et survivre jusqu'à l'arrivée des secours.","《Brotato》是一款垂直移动的竞技场射击roguelite游戏，你将化身为同时最多能装备6种武器的土豆战士，与成群结队的异形大战一场。从众多特性和道具中选择并搭配独特的构筑，在援军抵达前活下来！","Brotatoは最大6つの武器を装備できるジャガイモを操作してエイリアンの大群を撃退する、トップダウン形式のローグライト・アリーナシューターです。様々な特性とアイテムを選択してキャラクターをビルドし、救援が来るまで生き残りましょう。","Brotato는 감자가 되어 최대 6가지의 무기를 한 번에 휘두르며 외계인 무리를 물리치는 탑다운 아레나 슈팅 로그라이트 게임입니다. 다양한 특성과 아이템을 선택하고 독특한 빌드를 만들어 지원이 도착할 때까지 생존하세요.","《Brotato》是一款垂直移動的競技場射擊roguelite遊戲，你將作為一顆馬鈴薯，同時裝備多達6種武器來跟成群的異形大戰一場。從各種特性和道具中做選擇，來創建出獨特的構築並生存下來，直到救援的到來。","Brotato — аренный шутер с элементами «рогалика», в котором вы играете за вооруженную картофелину, дающую отпор ордам пришельцев. Берите до 6 видов оружия, выбирайте черты и предметы, придумывайте тактику и выживайте до прибытия подмоги.","Brotato to strzelanka typu roguelite na arenie z widokiem z góry, w której grasz ziemniakiem dzierżącym do 6 broni jednocześnie i walczącym z hordami obcych. Do wyboru masz różne cechy oraz przedmioty, które pozwolą ci stworzyć unikatową kombinację i przeżyć, póki nie nadejdzie pomoc.","Brotato es un roguelite de disparos en el que te moverás de arriba abajo del escenario. Encarna a una patata con 6 armas simultáneas para hacer frente a los alienígenas. Elige entre una variedad de características y objetos para crear combinaciones únicas y sobrevivir hasta que acudan los refuerzos.","Brotato é um jogo de tiro de arena estilo roguelite e com visão aérea no qual você controla uma batata portando até 6 armas e enfrenta hordas de alienígenas. Escolha dentre uma variedade de características e itens para criar sua estratégia e sobreviver até a ajuda chegar.","Brotato ist ein Arena-Shooter-Roguelite aus der Vogelperspektive, in dem du eine Kartoffel spielst, die mit bis zu 6 Waffen gleichzeitig gegen Horden von Aliens kämpft. Wähle aus einer Vielzahl von Fähigkeiten und Items, um einzigartige Builds zu erstellen und zu überleben, bis Hilfe eintrifft.","Brotato, en fazla 6 silah kuşanabilen bir patatesi oynayarak uzaylı sürülerine karşı savaştığın, üstten görünümlü bir arena nişancı ve rogue-lite oyunudur. Çeşitli özelliklerden istediğini seçip eşsiz karakterinle yardım gelene kadar hayatta kal.","Brotato è un arena shooter in stile roguelite in cui vesti i panni di una patata. Impugna fino a 6 armi per sconfiggere le orde aliene. Scegli gli attributi e gli oggetti che preferisci per creare combinazioni uniche e sopravvivere fino all'arrivo dei rinforzi."
"STEAM_DESCRIPTION","A spaceship from Potato World crashes onto an alien planet. The sole survivor: Brotato, the only potato capable of handling 6 weapons at the same time. Waiting to be rescued by his mates, Brotato must survive in this hostile environment.

[h2]Features[/h2]
[list]
[*]Auto-firing weapons by default with a manual aiming option
[*]Fast runs (under 30 minutes)
[*]Dozens of characters available to customize your runs (one-handed, crazy, lucky, mage and many more)
[*]Hundreds of items and weapons to choose from (flamethrowers, SMGs and rocket launchers or sticks and stones)
[*]Local Co-Op for up to 4 players
[*]Survive waves lasting 20 to 90 seconds each and kill off as many aliens as you can during that time
[*]Collect materials to gain experience and get items from the shop between waves of enemies
[*]Accessibility options: tweak the health, damage and speed of enemies so the difficulty is right for you
[/list]","Un vaisseau spatial du monde des patates s'écrase sur une planète alien. Le seul survivant : Brotato, la seule patate capable de manier 6 armes en même temps. En attente de se faire sauver par ses camarades, Brotato doit survivre dans cet environnement hostile.

[h2]Fonctionnalités[/h2]
[list]
[*]Les armes tirent automatiquement par défaut avec l'option de viser manuellement
[*]Parties rapides (moins de 30 minutes)
[*]Des dizaines de personnages disponibles pour personnaliser vos parties (manchot, fou, chanceux, mage et bien d'autres)
[*]Des centaines d'objets et d'armes parmi lesquels choisir (lance-flammes, SMG, lance-roquettes ou bâtons et cailloux)
[*]Coopération locale jusqu'à 4 joueurs
[*]Survivez à des vagues d'une durée de 20 à 90 secondes chacune et tuez autant d'extraterrestres que possible pendant cette période
[*]Collectez des matériaux pour acquérir de l'expérience et obtenez des objets de la boutique entre les vagues d'ennemis
[*]Options d'accessibilité : ajustez la santé, les dégâts et la vitesse des ennemis pour que la difficulté vous convienne
[/list]","来自土豆世界的宇宙飞船在外星球坠毁，仅剩Brotato大难不死。在所有的土豆中，只有他能同时使用6种武器。在等待援军抵达之前，Brotato得想办法在这四处逢敌的险境中求生。

[h2]游戏特色[/h2]
[list]
[*]武器默认为自动开火，但也可设置为手动瞄准
[*]快节奏（每轮游戏不超过30分钟）
[*]众多角色能让你获得与众不同的体验（独臂、狂人、幸运星、法师等）
[*]上百种道具和武器任君挑选（喷火器、冲锋枪、火箭筒、树枝或石头）
[*]多达四名玩家的本地合作功能
[*]每次敌袭会持续20～90秒，想办法在这期间内击杀更多敌人[/list]","ポテトワールドの宇宙船がエイリアンの惑星に墜落してしまった。生き残ったのは6つの武器を同時に扱える唯一のジャガイモ、Brotatoただ一人。彼は仲間の救援が来るまでの間、この絶体絶命の状況を耐え続けなければならなくなってしまった。
[h2]ゲームの特徴[/h2]
[list]
[*]武器は自動エイムがデフォルト。手動エイムもオプションで選べる
[*]プレイは一周30分未満と短め
[*]数十種類のキャラクター。様々なプレイスタイルが楽しめる（隻腕、暗器使い、ラッキーボーイ、魔法使いなど）
[*]数百のアイテムと武器から選択可能（火炎放射器、SMG、ロケットランチャー、木の棒やパチンコなど）
[*]最大4人のローカル協力プレイ
[*]なるべく多くのエイリアンを倒しつつ、20～90秒続くウェーブを乗り越えろ
[*]ウェーブ中にマテリアルを集めて経験値を獲得。ウェーブの合間にショップからアイテムを入手できる
[*]アクセシビリティオプション：敵のHP、攻撃力、移動速度を好きなように調節可能
[/list]","Potato World에서 온 우주선이 외계 행성에 충돌했습니다. 홀로 살아남은 Brotato는 한 번에 무기 6개를 다룰 수 있는 유일한 감자입니다. 동료에게 구출되기를 기다리며, Brotato는 이 적대적 환경에서 살아남아야만 합니다.

[h2]기능[/h2]
[list]
[*]자동 사격 무기가 기본으로 있고 수동 조준 옵션이 있습니다
[*]빠른 달리기(30분 미만)
[*]달리기를 사용자 지정할 수 있는 수많은 캐릭터(외팔이, 광인, 행운아, 마법사, 그 외)
[*]선택할 수 있는 수백가지 아이템과 무기들 (화염방사기, SMG, 로켓 런처, 막대기와 돌)
[*]최대 4명의 로컬 협동 플레이
[*]각각 20초에서 90초정도 되는 웨이브에서 살아남고 그 시간 동안 가능한 많은 외계인을 처치하세요
[*]재료를 모아 경험치를 얻고 적의 웨이브 간에 있는 상점에서 아이템을 얻으세요
[*]접근성 옵션: 체력, 대미지, 적 속도를 난이도에 맞도록 조정하세요
[/list]","來自馬鈴薯世界的宇宙飛船墜毀在異形星球上。僅有Brotato一個人大難不死，他是唯一一顆能夠同時扛起6把武器的馬鈴薯。在Brotato等待夥伴們來拯救他之前，得想辦法在這個四處逢敵的鬼地方活下去才行。

[h2]遊戲特色[/h2]
[list]
[*]武器預設為自動開火的同時需要靠手動瞄準
[*]節奏快速（每場不滿30分鐘）
[*]有一拖拉庫的角色讓你整出滿意的打法（單手打、瘋狂攻擊、超幸運類型、法師風格等多種類別）
[*]幾百種道具跟武器供你挑選（火焰發射器、衝鋒槍、火箭筒、法杖或石頭）
[*]本地合作，支援最多 4 名玩家
[*]每次的敵襲浪潮會持續20～90秒，想辦法在這段期間內多殺一點敵人並生存下來
[*]搜集素材獲得經驗值，並在每波敵襲的間隔去商店弄點道具吧
[*]輔助功能選項：調整敵人的生命值、傷害量和速度，找出最適合你的難易度
[/list]","Космический корабль с планеты Картошка потерпел крушение на чужой планете. Выжил только Брота — единственный умелый боец, одновременно использующий до 6 видов оружия. Крахмальный воин должен выжить во враждебном мире и продержаться до прилета товарищей.

[h2]Особенности[/h2]
[list]
[*] Автоматическая стрельба из оружия с возможностью включить ручное прицеливание.
[*] Быстрые забеги (до 30 минут).
[*] Десятки доступных персонажей для персонализации (однорукий, псих, везунчик, маг и многие другие).
[*] Сотни предметов и видов оружия на выбор (огнеметы, пистолеты-пулеметы и ракетницы, а также палки и камни).
[*] Локальный кооператив для 4 игроков
[*] Переживите волны продолжительностью от 20 до 90 секунд и убейте как можно больше пришельцев за отведенное время.
[*] Собирайте материалы, чтобы получать опыт, и покупайте предметы в магазине до начала новой волны врагов.
[*] Настройки доступности: увеличьте здоровье, урон и скорость врагов, чтобы настроить сложность по своему вкусу. [/list]","Pochodzący z Ziemniaczanego Świata statek rozbija się na planecie obcych. Przeżywa jedynie Brotato – kartofel potrafiący posługiwać się 6 broniami jednocześnie. Oczekując na przybycie kumpli, którzy wybawią go z opresji, Brotato musi przeżyć w niesprzyjających okolicznościach.

[h2]W grze znajdziesz:[/h2]
[list]
[*]Bronie domyślnie strzelające automatycznie, z opcją celowania ręcznego
[*]Szybkie rozgrywki (poniżej 30 minut)
[*]Dziesiątki bohaterów, dzięki którym dostosujesz rozgrywki (z jedną ręką, zwariowani, farciarze, magowie i mnóstwo innych)
[*]Setki przedmiotów i broni do wyboru (miotacze ognia, PM-y i wyrzutnie rakiet lub kije oraz kamienie)
[*]Lokalna kooperacja dla maksymalnie 4 graczy
[*]Przetrwaj fale wrogów trwające po 20–90 sekund i zniszcz w tym czasie tylu obcych, ilu tylko zdołasz
[*]Zbieraj materiały, aby zdobywać doświadczenie i zgarniaj przedmioty ze sklepu w czasie pomiędzy kolejnymi falami nacierających wrogów
[*]Ułatwienia dostępu: dostosuj zdrowie, zadawane obrażenia i prędkość, z jaką poruszają się wrogowie, aby dopasować poziom trudności do twoich możliwości
[/list]","Una nave procedente de Tubércula se estrella en un planeta alienígena. Solo Brotato, la única patata capaz de manejar 6 armas al mismo tiempo, sobrevive a dicho accidente. A la espera de que sus compañeros lo auxilien, habrá de resistir en un entorno atroz.

[h2]Características[/h2]
[list]
[*]Autodisparo por defecto, aunque existe la opción de apuntar manualmente.
[*]Partidas rápidas (de menos de 30 minutos)
[*]Varios personajes disponibles con los que personalizar tus partidas (con una mano, enloquecido, afortunado, mago y muchos más)
[*]Cientos de objetos y armas a tu elección (lanzallamas, subfusiles y lanzacohetes o incluso palos y piedras)
[*]Cooperativa local para hasta 4 jugadores
[*]Sobrevive a oleadas que duran de 20 a 90 segundos y elimina a cuantos más alienígenas puedas en dicho tiempo
[*]Reúne materiales para ganar experiencia y conseguir objetos en la tienda entre oleada y oleada
[*]Opciones de accesibilidad: Configura la salud, el daño y la velocidad de los enemigos para dar con la dificultad que mejor te venga
[/list]","Uma espaçonave de Tubercópolis caiu em um planeta alienígena. O único sobrevivente: Brotato, a única batata capaz de usar 6 armas ao mesmo tempo. Brotato precisa sobreviver neste ambiente hostil enquanto espera o resgate.

[h2]Características[/h2]
[list]
[*]Armas automáticas por padrão, com uma opção de mira manual
[*]Partidas rápidas (menos de 30 minutos)
[*]Dezenas de personagens disponíveis para personalizar suas partidas (um braço só, louco, sortudo, mago e muito mais)
[*]Centenas de itens e armas para escolher (lança-chamas, submetralhadoras, lança-foguetes e paus e pedras)
[*]Cooperativo local para até 4 jogadores
[*]Sobreviva a ondas que duram de 20 a 90 segundos cada e elimine quantos alienígenas puder nesse período
[*]Colete materiais para ganhar experiência e obtenha itens da loja entre as ondas de inimigos
[*]Opções de acessibilidade: ajuste a vida, o dano e a velocidade dos inimigos para que a dificuldade seja ideal
[/list]","Ein Raumschiff von der Kartoffelwelt stürzt auf einem Alien-Planeten ab. Der einzige Überlebende: Brotato, die einzige Kartoffel, die mit 6 Waffen gleichzeitig umgehen kann. Während er auf die Rettung durch seine Freunde wartet, muss Brotato in dieser feindseligen Umgebung überleben.

[h2]Features[/h2]
[list]
[*]Standardmäßig automatisch feuernde Waffen mit der Möglichkeit, manuell zu zielen
[*]Schnelle Durchläufe (unter 30 Minuten)
[*]Dutzende von Charakteren, mit denen du deine Durchläufe individuell anpassen kannst (Einarmiger, Irrer, Glückspilz, Magier und viele mehr)
[*]Hunderte von Items und Waffen (Flammenwerfer, MPs und Raketenwerfer oder Stöcke und Steine)
[*]Lokaler Koop-Modus für bis zu 4 Spieler
[*]Überlebe Gegnerwellen, die 20 bis 90 Sekunden andauern, und töte währenddessen möglichst viele Aliens
[*]Sammle Materialien, um Erfahrung zu erhalten, und hole dir zwischen den Gegnerwellen verschiedene Items im Laden
[*]Barrierefreiheitsoptionen: Passe die Leben, den Schaden und das Tempo von Gegnern an, damit die Schwierigkeit genau deinen Anforderungen entspricht
[/list]","Patates Dünyası Pattis'ten biz uzay aracı, yabancı bir gezegene düşer. Kurtulmayı başaran sadece Brotato olur. Aynı anda 6 silah taşıyabilecek tek efsane patates. Dostları onu kurtarmaya gelecek ama Brotato'nun onları beklerken düşmanlarla mücadele etmesi gerekiyor.

[h2]Özellikler[/h2]
[list]
[*]Manuel hedef de alabileceğin otomatik ateş eden silahlar
[*]Kısa oyunlar (30 dakikadan kısa sürer)
[*]Her oyunu özelleştirmenizi sağlayacak onlarca karakter (tek elli, çılgın, şanslı, büyücü ve daha fazlası)
[*]Yüzlerce eşya ve silah seçeneği (alev makinesi, hafif makineli silahlar, roketatar veya taşlı sopalı seçenekler)
[*]4 kişiye kadar yerel kooperatif
[*]Her biri 20 ila 90 saniye arasında süren dalgalar sırasında hayatta kal ve olabildiğince uzaylı öldür
[*]Malzeme toplayıp deneyim kazan ve hücumlar arasında dükkândan eşya al
[*]Erişilebilirlik seçenekleri: düşmanların can puanlarını, verdikleri hasarı ve hızlarını değiştirerek zorluğu kendine göre ayarla
[/list]","Una nave spaziale proveniente da Patamondo si schianta su un pianeta alieno. C'è un solo superstite: Brotato, l'unica patata in grado di impugnare 6 armi contemporaneamente! Mentre aspetta di essere soccorso, Brotato deve sopravvivere in questo mondo ostile.

[h2]Caratteristiche[/h2]
[list]
[*]Le armi sparano automaticamente per impostazione predefinita, ma è possibile passare alla mira manuale.
[*]Partite rapide (meno di 30 minuti).
[*]Decine di personaggi con cui personalizzare le partite (Tuttofare, Svitato, Fortunello, Mago e molti altri).
[*]Centinaia di armi e oggetti tra cui scegliere (da lanciafiamme e mitragliatrici a sassi e fionde).
[*]Cooperativa locale fino a 4 giocatori
[*]Sopravvivi a ondate di 20-90 secondi e uccidi tutti gli alieni che puoi.
[*]Raccogli materiali per salire di livello e acquistare oggetti tra un'ondata e l'altra.
[*]Opzioni di accessibilità: modifica salute, danni e velocità dei nemici per cambiare la difficoltà del gioco.
[/list]"
"MENU_QUIT","Quit","Quitter","退出","終了","종료","離開","Выход","Wyjdź","Cerrar","Sair","Beenden","Çık","Esci"
"MENU_GRAPHICS","Graphics","Graphismes","图像","グラフィック","그래픽","畫面","Графика","Grafika","Gráficos","Gráficos","Grafik","Grafikler","Grafica"
"MENU_GAMEPLAY","Gameplay","Jouabilité","游戏操作","ゲームプレイ","게임플레이","遊戲操作","Игровой процесс","Rozgrywka","Jugabilidad","Jogabilidade","Gameplay","Oynanış","Gioco"
"MENU_ACCESSIBILITY","Accessibility","Accessibilité","辅助功能","アクセシビリティ","접근성","輔助功能","Доступность","Ułatwienia dostępu","Accesibilidad","Acessibilidade","Barrierefreiheit","Erişilebilirlik","Accessibilità"
"MENU_RETURN_MAIN","Return to Main Menu","Retourner au menu principal","返回主菜单","メインメニューに戻る","메인 메뉴로 돌아가기","返回主選單","В главное меню","Powrót do menu głównego","Volver al menú principal","Voltar ao Menu Principal","Zurück zum Hauptmenü","Ana Menüye Dön","Torna al menu principale"
"MENU_RETURN_MAIN_QUESTION","Return to Main Menu?","Retourner au menu principal ?","是否返回主菜单？","メインメニューに戻りますか？","메인 메뉴로 돌아가시겠습니까?","要返回主選單嗎？","Вернуться в главное меню?","Wrócić do menu głównego?","¿Volver al menú principal?","Voltar ao Menu Principal?","Zum Hauptmenü zurückkehren?","Ana Menüye Dön?","Vuoi tornare al menu principale?"
"MENU_LANGUAGE","Language","Langue","语言","言語","언어","語言","Язык","Język","Idioma","Idioma","Sprache","Dil","Lingua"
"MENU_BACK","Back","Retour","返回","戻る","뒤로","返回","Назад","Wstecz","Atrás","Voltar","Zurück","Geri","Indietro"
"MENU_NO","No","Non","否","いいえ","아니요","不","Нет","Nie","No","Não","Nein","Hayır","No"
"MENU_YES","Yes","Oui","是","はい","예","好","Да","Tak","Sí","Sim","Ja","Evet","Sì"
"MENU_OPTIONS","Options","Options","设置","オプション","옵션","選項","Настройки","Ustawienia","Opciones","Opções","Optionen","Ayarlar","Opzioni"
"MENU_START","Start","Nouvelle partie","开始","スタート","시작","開始","Начать","Start","Iniciar","Iniciar","Start","Başla","Nuova partita"
"MENU_COMMUNITY","Community","Communauté","社区","コミュニティ","커뮤니티","社群平台","Сообщество","Społeczność","Comunidad","Comunidade","Community","Topluluk","Community"
"MENU_AUDIO","Audio","Audio","音频","サウンド","오디오","音訊","Звук","Dźwięk","Audio","Áudio","Audio","Ses","Audio"
"MENU_RESUME","Resume","Reprendre","继续","ゲームの再開","재개","繼續","Продолжить","Wznów","Continuar","Retomar","Weiter","Devam Et","Continua"
"MENU_GO","Go","Go","出发","GO","이동","出發","Вперед","Idź","Ir","Ir","Los","Git","Vai"
"MENU_BUY","Buy","Acheter","购买","購入","구매","購買","Купить","Kup","Comprar","Comprar","Kaufen","Satın Al","Compra"
"MENU_SHOP","Shop","Boutique","商店","ショップ","상점","商店","Магазин","Sklep","Tienda","Loja","Laden","Dükkân","Negozio"
"MENU_CREDITS","Credits","Crédits","制作人名单","クレジット","크레딧","工作人員名單","Титры","Twórcy","Créditos","Créditos","Credits","Emeği Geçenler","Riconoscimenti"
"MENU_NEWSLETTER","Newsletter","Newsletter","新消息","ニュースレター","뉴스레터","新消息","Рассылка","Wiadomości","Noticias","Boletim","Newsletter","Haberler","Notizie"
"MENU_MORE_GAMES","More Games","Autres jeux","更多作品","その他のゲーム","다른 게임들","更多作品","Другие игры","Więcej gier","Más juegos","Mais jogos","Weitere Spiele","Daha Fazla Oyun","Altri giochi"
"MENU_PROGRESS","Progress","Progression","进度","進行状況","진행 상황","目前進度","Прогресс","Postępy","Progreso","Progresso","Fortschritt","İlerleme","Progressi"
"MENU_TAKE","Take","Prendre","拿取","受け取る","사용","取得","Взять","Weź","Recoger","Pegar","Nehmen","Al","Prendi"
"MENU_DISCARD","Discard","Jeter","丢弃","破棄する","폐기","捨棄","Выбросить","Odrzuć","Desechar","Descartar","Verwerfen","At","Scarta"
"MENU_CHOOSE","Choose","Choisir","选择","選択する","선택","選擇","Выбрать","Wybierz","Elegir","Escolher","Wählen","Seç","Scegli"
"MENU_RECYCLE","Recycle","Recycler","回收","リサイクル","재활용","回收","Разобрать","Przetwórz","Reciclar","Reciclar","Verwerten","Geri Dönüştür","Ricicla"
"MENU_COMBINE","Combine","Combiner","合成","合成する","결합","合成","Объединить","Połącz","Combinar","Combinar","Kombinieren","Birleştir","Combina"
"MENU_MUSIC","Music","Musique","音乐","BGM","음악","音樂","Музыка","Muzyka","Música","Música","Musik","Müzik","Musica"
"MENU_SOUND","Sound","Son","声音","効果音","음향","聲音","Звук","Dźwięk","Sonido","Som","Sound","Ses","Suoni"
"MENU_MASTER","Master","Master","主音效","マスターボリューム","마스터","主音效","Общий","Ogólna głośność","General","Principal","Gesamt","Genel","Principale"
"MENU_CANCEL","Cancel","Annuler","取消","キャンセル","취소","取消","Отмена","Anuluj","Cancelar","Cancelar","Abbrechen","İptal Et","Annulla"
"MENU_VIDEO","Video","Vidéo","视频","画面","비디오","影像","Видео","Obraz","Vídeo","Vídeo","Video","Görüntü","Video"
"MENU_RESTART","Restart","Recommencer","重新开始","始めから","재시작","重新開始","Заново","Restart","Reiniciar","Reiniciar","Neustart","Tekrar Başlat","Ricomincia"
"MENU_NEW_RUN","New Run","Nouvelle Partie","新游戏","キャラ選択へ","새로운 달리기","新的一場","Новый забег","Nowa gra","Nueva partida","Nova partida","Neue Runde","Yeni Oyun","Nuova partita"
"MENU_RESTART_QUESTION","Restart the run?","Recommencer la partie ?","是否重新开始本轮游戏？","始めからやり直しますか？","달리기를 다시 시작하시겠습니까?","要重新開始這場嗎？","Начать забег заново?","Chcesz zacząć od początku?","¿Reiniciar la partida?","Reiniciar a partida?","Die Runde neu starten?","Oyunu tekrar başlat?","Vuoi ricominciare la partita?"
"MENU_END_RUN","End the run","Terminer la partie","结束本轮游戏","この周回を終える","달리기를 종료합니다","結束這場遊戲","Завершить забег","Zakończ rozgrywkę","Terminar la partida","Encerrar a partida","Die Runde beenden","Oyunu sonlandır","Termina la partita"
"MENU_END_RUN_QUESTION","End the run?","Terminer la partie ?","是否结束本轮游戏？","この周回を終了し、ゲームオーバー画面に移行しますか？","달리기를 종료하시겠습니까?","要結束這場嗎？","Закончить забег?","Zakończyć rozgrywkę?","¿Terminar la partida?","Encerrar a partida?","Die Runde beenden?","Oyunu sonlandır?","Vuoi terminare la partita?"
"MENU_LOCK","Lock","Verrouiller","锁定","ロック","잠금","上鎖","Закрепить","Zablokuj","Bloquear","Travar","Sperren","Kilitle","Blocca"
"MUTATION","Mutation","Mutation","异变","変異","돌연변이","異變","Мутация","Mutacja","Mutación","Mutação","Mutation","Mutasyon","Mutazione"
"WAVE","Wave {0}","Vague {0}","第{0}波","第 {0} ウェーブ","웨이브 {0}","第{0}波","Волна {0}","Fala {0}","Oleada {0}","Onda {0}","Welle {0}","{0}. Hücum","Ondata {0}"
"LEVEL_UP","Level up!","Niveau supérieur !","升级！","レベルアップ！","레벨 업!","升級！","Новый уровень!","Awans!","¡Más nivel!","Subiu de nível!","Levelaufstieg!","Seviye atlandı!","Nuovo livello!"
"REROLL","Reroll","Randomiser","刷新","リロール","초기화","重骰","Замена","Wymień","Repetir","Renovar","Neu würfeln","Yenile","Cambia"
"ITEMS","Items","Objets","道具","アイテム","아이템","道具","Предметы","Przedmioty","Objetos","Itens","Items","Eşyalar","Oggetti"
"WEAPONS","Weapons","Armes","武器","武器","무기","武器","Оружие","Bronie","Armas","Armas","Waffen","Silahlar","Armi"
"STATS","Stats","Statistiques","属性","ステータス","능력치","數值","Параметры","Statystyki","Estadísticas","Atributos","Werte","İstatistik","Parametri"
"RUN_LOST","Run Lost","Partie perdue","战败","ゲームオーバー","달리기 패배","落敗比賽","Неудачный забег","Przegrywasz grę","Partida perdida","Partida perdida","Runde verloren","Kaybedilen Oyun","Partita persa"
"RUN_WON","Run Won","Partie gagnée","胜利","クリア","달리기 승리","獲勝比賽","Удачный забег","Wygrywasz grę","Partida ganada","Partida vencida","Runde gewonnen","Kazanılan Oyun","Partita vinta"
"WAVE_FAILED","Wave Failed","Échec de la vague","波形失败","ウェーブ失敗","웨이브 실패","波形失敗","волна не прошла","Fala nieudana","Oleada fallida","Onda falhou","Welle gescheitert","Hücum başarısız oldu","Ondata fallita"
"RUN_STATS","Run Stats","Statistiques de la partie","比赛数据","統計","달리기 능력치","比賽數據","Статистика забега","Statystyki gry","Estadísticas de partida","Estatísticas da partida","Rundenstatistik","Oyun İstatistikleri","Statistiche partita"
"CHALLENGES_COMPLETED","Challenges Completed","Challenges Complétés","完成挑战","チャレンジ クリア","챌린지 완료","完成挑戰","Пройденные испытания","Wyzwania ukończone","Desafíos completados","Desafios concluídos","Abgeschlossene Herausforderungen","Tamamlanan Görevler","Sfide completate"
"CHARACTER_SELECTION","Character Selection","Sélection du Personnage","角色选择","キャラクター選択","캐릭터 선택","角色選擇","Выбор персонажа","Wybór postaci","Selección de personaje","Seleção de personagem","Charakterauswahl","Karakter Seçimi","Selezione personaggio"
"WEAPON_SELECTION","Weapon Selection","Sélection de l'Arme","武器选择","武器選択","무기 선택","武器選擇","Выбор оружия","Wybór broni","Selección de arma","Seleção de arma","Waffenauswahl","Silah Seçimi","Selezione arma"
"DIFFICULTY_SELECTION","Difficulty Selection","Sélection de la Difficulté","难度选择","難易度選択","난이도 선택","難易度選擇","Выбор сложности","Wybór poziomu trudności","Selección de dificultad","Seleção de dificuldade","Schwierigkeitsauswahl","Zorluk Seçimi","Selezione difficoltà"
"RANDOM","Random","Aléatoire","随机","ランダム","랜덤","隨機","Случайно","Losowo","Al azar","Aleatório","Zufällig","Rastgele","Casuale"
"WISHLIST","Wishlist","Ajouter à la liste de souhaits","愿望单","ウィッシュリストに入れる","찜 목록","願望清單","В список желаемого","Lista życzeń","Lista de deseos","Lista de desejo","Auf die Wunschliste","İstek Listesi","Lista dei desideri"
"NB_WEAPONS","{0} weapons","{0} armes","{0}武器","武器 {0}個","무기 {0}개","{0}武器","Оружие: {0}","Bronie: {0}","{0} armas","{0} armas","{0} Waffen","{0} silah","{0} armi"
